iter	RMSE
0	1.472883335
1	1.375122256
2	1.291018015
3	1.216822655
4	1.153715998
5	1.099513815
6	1.050219496
7	1.009152194
8	0.9687717316
9	0.9370412278
10	0.9073286727
11	0.8827197988
12	0.8592191681
13	0.840049804
14	0.8199943329
15	0.8046009635
16	0.7908939656
17	0.7780016281
18	0.7604090048
19	0.7443049692
20	0.7308199111
21	0.7199208509
22	0.7103868652
23	0.6983449989
24	0.6898650818
25	0.6806847518
26	0.6726328737
27	0.6666553083
28	0.6599860245
29	0.6536677279
30	0.6467766736
31	0.6415426203
32	0.6363293754
33	0.6320935077
34	0.6280208555
35	0.6229676132
36	0.616597293
37	0.6127481184
38	0.6060119869
39	0.6034682375
40	0.5981279815
41	0.5956552796
42	0.5911287503
43	0.5881008381
44	0.5841399615
45	0.5802887346
46	0.5772702726
47	0.5713440065
48	0.5659539788
49	0.5632497157
50	0.5601125082
51	0.5586061593
52	0.5568013805
53	0.5553252646
54	0.5510864469
55	0.5457828258
56	0.5432379945
57	0.5399012544
58	0.5372033654
59	0.534883102
60	0.5318468803
61	0.5288534308
62	0.5242176253
63	0.5225023025
64	0.5196174059
65	0.5181046819
66	0.516069805
67	0.5128599711
68	0.5111344695
69	0.5090397729
70	0.5048249232
71	0.5036964393
72	0.5013053317
73	0.4979829665
74	0.4967819324
75	0.4936821846
76	0.4916857547
77	0.4892387644
78	0.4861090783
79	0.4844949598
80	0.4818756156
81	0.4800781768
82	0.4779481366
83	0.4751904365
84	0.4734204729
85	0.4716036122
86	0.4697701417
87	0.4678616401
88	0.4672032573
89	0.4647640285
90	0.462654605
91	0.4604816613
92	0.4592962093
93	0.4566210469
94	0.4545944736
95	0.4526145592
96	0.4503351789
97	0.4487644555
98	0.4465330591
99	0.4450924527
100	0.4439710523
101	0.4425167309
102	0.4403281911
103	0.4389363093
104	0.4377130571
105	0.435581498
106	0.433298493
107	0.4315640067
108	0.4300421238
109	0.427758426
110	0.4261149484
111	0.4250772145
112	0.4229559812
113	0.4218449045
114	0.4208511953
115	0.4188767221
116	0.4177301939
117	0.4157477839
118	0.4148719896
119	0.4132767093
120	0.4121313675
121	0.4106645839
122	0.4098706833
123	0.40823325
124	0.4071708479
125	0.4064904385
126	0.4050624687
127	0.403676918
128	0.4024786003
129	0.4008884165
130	0.3991440775
131	0.397543617
132	0.3965554214
133	0.3958044798
134	0.3940415783
135	0.3933694311
136	0.3920940107
137	0.3912635062
138	0.3904263233
139	0.3894741799
140	0.3879268653
141	0.3872686693
142	0.3861670914
143	0.3849552638
144	0.3831797044
145	0.3824535928
146	0.381634667
147	0.3806097818
148	0.3792278613
149	0.3779918231
150	0.376793535
151	0.3758392222
152	0.3752328429
153	0.374524858
154	0.373811516
155	0.3729414052
156	0.3721801428
157	0.3706535091
158	0.3699931506
159	0.3693968985
160	0.3682720454
161	0.3675037057
162	0.3670331657
163	0.3660238875
164	0.365038973
165	0.3635530013
166	0.3628844239
167	0.3624871968
168	0.3620533629
169	0.3611308946
170	0.3605360616
171	0.3594922901
172	0.3590804821
173	0.3583329292
174	0.357414625
175	0.3570411247
176	0.3563710882
177	0.3556941771
178	0.3551818708
179	0.3540869743
180	0.3530176589
181	0.3519874722
182	0.3513802654
183	0.3500801922
184	0.3492155233
185	0.3487021456
186	0.3480148347
187	0.3470765897
188	0.3461999523
189	0.3456130506
190	0.3448938864
191	0.3444275107
192	0.3438573604
193	0.3435331329
194	0.3431147929
195	0.3424123021
196	0.3415611672
197	0.3411353691
198	0.339921392
199	0.3397016086
200	0.3391569262
201	0.3385386256
202	0.3382026882
203	0.3376721978
204	0.3369326948
205	0.3358729263
206	0.3352595784
207	0.3344655959
208	0.3338205128
209	0.3332341572
210	0.3324275397
211	0.3314611668
212	0.3308248613
213	0.3304229058
214	0.3299649713
215	0.3290367848
216	0.3284669489
217	0.3279293776
218	0.3274684348
219	0.3269738628
220	0.3264724511
221	0.3260901376
222	0.3258251657
223	0.3252224758
224	0.3249302706
225	0.3245022413
226	0.3239501321
227	0.3231213843
228	0.3227237379
229	0.3220215485
230	0.3214999198
231	0.3211311518
232	0.3206997341
233	0.3205442545
234	0.3198637053
235	0.318976369
236	0.3184707796
237	0.3180328156
238	0.3174539361
239	0.3170928079
240	0.3163145592
241	0.3158441587
242	0.3149874087
243	0.3144196367
244	0.3139162576
245	0.3133404415
246	0.3129369332
247	0.312498277
248	0.311955152
249	0.3115324136
250	0.3112221336
251	0.3108048803
252	0.3103909716
253	0.3098309427
254	0.3093005835
255	0.3089472949
256	0.3084006832
257	0.307823373
258	0.3073152778
259	0.3071296187
260	0.3067873815
261	0.3059319485
262	0.3057051505
263	0.3054292953
264	0.3053176304
265	0.3049376855
266	0.3045102883
267	0.3039935749
268	0.3037488399
269	0.3032684045
270	0.302759018
271	0.3025645113
272	0.3021213034
273	0.3016471384
274	0.3011857444
275	0.3009067136
276	0.3006654137
277	0.3001098861
278	0.2995651415
279	0.2992442603
280	0.2985622599
281	0.2982820308
282	0.2980360027
283	0.2978015033
284	0.2973263587
285	0.2968262016
286	0.296204196
287	0.2960016288
288	0.2957307739
289	0.2950991012
290	0.2947308398
291	0.2943367504
292	0.2941501008
293	0.2937826364
294	0.2935531781
295	0.2929832687
296	0.2929107464
297	0.2926013223
298	0.2922533459
299	0.2917855246
300	0.2914679168
301	0.2910294833
302	0.2904325553
303	0.2900827057
304	0.2895787561
305	0.2894251317
306	0.2889905517
307	0.2887863839
308	0.2883867666
309	0.2879330226
310	0.287586036
311	0.2872816788
312	0.2870116477
313	0.286861189
314	0.2864954048
315	0.2863581089
316	0.2861849611
317	0.286085566
318	0.2858782456
319	0.2856516149
320	0.2855230818
321	0.2851361542
322	0.2847155249
323	0.2843578901
324	0.2840457116
325	0.2834861781
326	0.2832200714
327	0.283118393
328	0.2826581314
329	0.2825642893
330	0.2821692683
331	0.2815088316
332	0.2812159497
333	0.2811234583
334	0.281002246
335	0.2806017136
336	0.2802573003
337	0.2798600089
338	0.2795170638
339	0.2792803444
340	0.2791435165
341	0.2787170009
342	0.278586596
343	0.2782886972
344	0.2781104798
345	0.277814422
346	0.2773699767
347	0.2771367104
348	0.276833115
349	0.2767442857
350	0.2763991881
351	0.2761320473
352	0.2760305887
353	0.2757544166
354	0.2754028816
355	0.275117666
356	0.2747887563
357	0.2745661417
358	0.2743158986
359	0.2742105775
360	0.273906992
361	0.2736655954
362	0.2735355155
363	0.2731449603
364	0.2730096299
365	0.2729528918
366	0.272738671
367	0.2725487261
368	0.2723642174
369	0.272291875
370	0.2719297756
371	0.2715859485
372	0.2713156014
373	0.2711211576
374	0.2709726284
375	0.2708569111
376	0.270789253
377	0.2707001359
378	0.2705914057
379	0.2703065229
380	0.2700533594
381	0.2697192444
382	0.2694661166
383	0.2692564168
384	0.2691587199
385	0.2688059856
386	0.2685067163
387	0.2681079306
388	0.267856393
389	0.2677673406
390	0.2676382483
391	0.2673731448
392	0.2671739916
393	0.2669279555
394	0.266776217
395	0.2663180186
396	0.2660546847
397	0.2659197519
398	0.2655000657
399	0.2651852657
400	0.2649823018
401	0.2648372869
402	0.2645033293
403	0.2644074887
404	0.2643551533
405	0.2641543374
406	0.2639144268
407	0.2638468893
408	0.2636970185
409	0.2635404083
410	0.2632861116
411	0.2630558081
412	0.2629181443
413	0.2627899464
414	0.2626694022
415	0.2624200169
416	0.2623679413
417	0.2623620958
418	0.2622962536
419	0.2621625794
420	0.2619256641
421	0.2616513381
422	0.2615806735
423	0.2613388814
424	0.2610624113
425	0.2608416248
426	0.2605162306
427	0.2604610897
428	0.2603124564
429	0.260131834
430	0.2600438666
431	0.2596859502
432	0.2593519989
433	0.2592143221
434	0.2590008531
435	0.2588993147
436	0.2587496685
437	0.2586825
438	0.2584668504
439	0.2583329315
440	0.2581842711
441	0.2579391966
442	0.2577011302
443	0.2576435198
444	0.2575314546
445	0.2572346702
446	0.2570650586
447	0.2568931463
448	0.2567843859
449	0.2565656903
450	0.2563543611
451	0.2562582479
452	0.2562535213
453	0.2560682008
454	0.2559827378
455	0.2559062844
456	0.2556309939
457	0.2554441249
458	0.2553643359
459	0.2551318473
460	0.2550411331
461	0.254873417
462	0.2546830049
463	0.2546505102
464	0.2545146258
465	0.2544739284
466	0.254414378
467	0.2542443455
468	0.2541258933
469	0.2539349296
470	0.2537572687
471	0.2537518514
472	0.2536896829
473	0.2535257295
474	0.2532735366
475	0.2530855107
476	0.2527432417
477	0.2526209236
478	0.2525048688
479	0.2524529778
480	0.2521931544
481	0.2521000939
482	0.2518551338
483	0.2516309654
484	0.2516110861
485	0.2515192178
486	0.2513425395
487	0.2509869409
488	0.2507229398
489	0.2504819384
490	0.2503600699
491	0.2502333579
492	0.24997575
493	0.2498474558
494	0.2498429284
495	0.2495924655
496	0.2495790336
497	0.2495501514
498	0.2493690308
499	0.2493156252
