iter	Passed	Remaining
0	62	31072
1	65	16379
2	68	11416
3	71	8865
4	73	7300
5	76	6264
6	78	5527
7	80	4978
8	83	4565
9	86	4243
10	89	3959
11	91	3732
12	95	3561
13	98	3409
14	101	3280
15	104	3157
16	107	3048
17	109	2940
18	112	2850
19	115	2766
20	117	2679
21	119	2605
22	122	2547
23	126	2506
24	128	2445
25	132	2411
26	135	2374
27	138	2337
28	141	2295
29	144	2261
30	147	2230
31	150	2198
32	154	2181
33	157	2154
34	160	2131
35	164	2119
36	167	2097
37	170	2076
38	174	2060
39	177	2041
40	181	2026
41	185	2018
42	188	2001
43	191	1989
44	195	1979
45	199	1969
46	202	1956
47	206	1944
48	210	1936
49	214	1928
50	218	1920
51	222	1914
52	226	1911
53	230	1901
54	234	1893
55	238	1889
56	242	1884
57	246	1882
58	251	1877
59	255	1870
60	260	1873
61	265	1874
62	269	1870
63	273	1862
64	277	1859
65	282	1860
66	286	1852
67	290	1843
68	294	1838
69	298	1834
70	303	1831
71	306	1823
72	311	1823
73	315	1815
74	319	1810
75	323	1807
76	327	1800
77	331	1792
78	335	1786
79	339	1782
80	345	1785
81	349	1783
82	356	1792
83	363	1802
84	369	1803
85	373	1799
86	377	1791
87	380	1783
88	385	1778
89	389	1774
90	393	1770
91	397	1763
92	401	1757
93	405	1751
94	410	1748
95	414	1743
96	419	1740
97	423	1737
98	427	1731
99	431	1724
100	435	1721
101	439	1713
102	443	1710
103	447	1705
104	452	1703
105	456	1698
106	461	1695
107	465	1689
108	468	1682
109	472	1675
110	475	1668
111	480	1663
112	484	1657
113	488	1652
114	491	1647
115	495	1641
116	499	1635
117	504	1632
118	508	1627
119	512	1622
120	516	1616
121	519	1609
122	523	1603
123	527	1600
124	532	1598
125	537	1594
126	542	1592
127	545	1585
128	549	1580
129	553	1574
130	558	1572
131	562	1569
132	566	1563
133	571	1560
134	576	1558
135	580	1554
136	585	1550
137	589	1547
138	593	1542
139	603	1551
140	608	1550
141	614	1549
142	620	1549
143	624	1544
144	627	1536
145	631	1531
146	636	1528
147	640	1522
148	644	1517
149	648	1514
150	651	1506
151	656	1503
152	660	1498
153	665	1495
154	669	1489
155	671	1481
156	674	1473
157	679	1470
158	684	1467
159	690	1466
160	694	1462
161	699	1458
162	703	1455
163	708	1451
164	711	1444
165	715	1439
166	719	1434
167	723	1429
168	728	1426
169	732	1422
170	737	1419
171	741	1413
172	745	1408
173	749	1403
174	753	1398
175	757	1394
176	761	1389
177	765	1384
178	770	1381
179	774	1376
180	778	1371
181	782	1366
182	786	1361
183	790	1357
184	794	1352
185	798	1348
186	803	1344
187	807	1340
188	811	1334
189	815	1330
190	819	1325
191	823	1320
192	827	1315
193	831	1311
194	834	1305
195	838	1300
196	842	1296
197	847	1293
198	852	1288
199	856	1284
200	860	1280
201	864	1275
202	868	1270
203	872	1265
204	876	1260
205	880	1256
206	884	1252
207	889	1248
208	893	1243
209	896	1238
210	901	1234
211	905	1229
212	908	1223
213	912	1219
214	917	1216
215	921	1211
216	925	1206
217	929	1201
218	932	1196
219	936	1191
220	940	1186
221	944	1183
222	949	1179
223	953	1175
224	957	1170
225	960	1164
226	964	1160
227	969	1156
228	973	1152
229	977	1147
230	981	1142
231	985	1138
232	989	1134
233	993	1129
234	998	1125
235	1001	1120
236	1005	1116
237	1010	1111
238	1013	1107
239	1018	1103
240	1022	1099
241	1026	1094
242	1031	1090
243	1035	1086
244	1039	1081
245	1042	1076
246	1046	1072
247	1051	1068
248	1055	1064
249	1059	1059
250	1063	1054
251	1066	1049
252	1071	1046
253	1075	1041
254	1079	1037
255	1084	1033
256	1088	1028
257	1091	1024
258	1097	1020
259	1101	1016
260	1106	1013
261	1110	1008
262	1114	1004
263	1120	1001
264	1125	998
265	1131	995
266	1136	991
267	1140	987
268	1144	983
269	1148	978
270	1152	974
