Category,Count,Mean,Median,Mode,Variance,Std Dev,Min,Max
Arecanut,1577,2.11041650806182,1.171206225680934,0.0,6.868958010232475,2.6208697049324057,0.0,19.3
Other Kharif pulses,3659,0.48673236105048434,0.42857142857142855,0.5,0.1776863316883263,0.42152856568484925,0.0,12.666666666666666
Rice,15104,1.992107918020906,1.9367895747848642,2.0,4.196794293540587,2.0486078916036097,0.0,223.72727272727272
Banana,3209,26.42377023227803,20.716666666666665,0.0,346.64987295440994,18.618535736045676,0.0,138.42105263157896
Cashewnut,1081,9.559398006455396,0.38998688435620277,0.5,88852.99810512099,298.082200248725,0.0,9801.0
Coconut,1985,3985.445937352473,21.294001276324185,0.0,26755463.549541917,5172.568370697667,0.0,38800.0
Dry ginger,3008,5.331921450142143,2.4411357190794742,1.0,44.319136664631664,6.657261949527873,0.0,39.06544502617801
Sugarcane,7921,192.6892554190896,52.803703703703704,0.0,9771990.773406213,3126.018357816571,0.0,88000.0
Sweet potato,4198,8.687845450325401,8.12,0.0,25.358315621609847,5.03570408399956,0.0,38.125
Tapioca,1586,18.749737920403973,11.4375,5.0,207.80805425664585,14.415549044578421,0.0,70.5160908660672
Black pepper,934,1.1487486783393912,0.5938635728263908,0.0,1.460823710713514,1.208645403215316,0.0,9.989085772984078
Dry chillies,6489,1.358093085903123,0.9139650872817955,1.0,1.9114420375756738,1.3825491085584172,0.0,24.822695035460992
other oilseeds,633,1.4774655601349842,0.5,0.0,19.691393780342125,4.437498594967904,0.0,32.57481498612396
Turmeric,4202,2.733596133720879,2.0,1.0,5.257858158739112,2.293001997107528,0.0,25.0
Maize,13947,2.6025664109280586,1.778894472361809,1.0,597.0291896252079,24.434180764355656,0.0,1494.0
Moong(Green Gram),10318,0.443138519010162,0.4123754893208039,0.5,0.06877811435498107,0.2622558185340815,0.0,8.0
Urad,9850,0.4868916616540661,0.45614394593039975,0.5,0.10174035182738585,0.3189676344511867,0.0,10.0
Arhar/Tur,7578,0.7867092485946797,0.7241568776051535,1.0,0.19367681490526234,0.44008728100828176,0.0,8.0
Groundnut,8834,1.1864156193808078,1.0375574192212722,1.0,0.6517651109939245,0.8073197080425601,0.0,49.0
Sunflower,5571,0.9293180676439554,0.7866666666666666,1.0,1.2166073536462967,1.1029992536925384,0.0,70.0
Bajra,5427,1.1634891303594415,1.0251572327044025,1.0,0.5168223629605359,0.7189035839113169,0.0,15.73015873015873
Castor seed,3376,0.672669644261218,0.5,0.5,0.3691255673610145,0.6075570486472974,0.0,7.5
Cotton(lint),4518,2.0011815713584435,1.3240683708038188,0.0,74.21258237153462,8.614672505181762,0.0,300.0
Horse-gram,3902,0.44455953477965704,0.3959261453396524,0.0,0.05849816281764486,0.241863934512041,0.0,3.1029411764705883
Jowar,7065,1.0374510187157928,0.9564619615032081,1.0,0.42826374869692835,0.6544186341302701,0.0,14.56875
Korra,126,0.6782316292545555,0.707839651123784,1.0,0.07217520516478931,0.2686544344781774,0.1,1.2666666666666666
Ragi,4145,1.1896877382810926,1.0558804418453542,1.0,0.4931263335882034,0.7022295447987099,0.0,9.75
Tobacco,2698,1.888187725658003,1.0913729128014842,1.0,3.3915725515442547,1.8416222608190462,0.0,8.0
Gram,7361,0.8151876620074916,0.7965193826350221,1.0,0.1638917799873614,0.4048354974398384,0.0,13.083333333333334
Wheat,7899,2.086716104854544,1.886283887033788,1.0,1.1296508018606057,1.0628503195937826,0.0,7.461538461538462
Masoor,4224,0.6893179185927121,0.670628602389294,1.0,0.12214970823936414,0.34949922494815944,0.0,3.5714285714285716
Sesamum,9046,0.44762538525170853,0.3251137981549077,0.0,8.2710263474131,2.8759392113556745,0.0,235.0
Linseed,4405,0.515198177388127,0.4580559254327563,0.5,0.07956842114688359,0.28207874990307863,0.0,5.090909090909091
Safflower,1335,0.5317183831896096,0.5,0.5,0.09623260131088003,0.3102137993559926,0.0,2.8
Onion,7012,11.807903522362052,10.294350765405238,2.0,713.8885491596349,26.718692878949653,0.0,2150.0
other misc. pulses,70,0.24339299589249386,0.16615067079463364,0.0,0.06251479897697634,0.2500295962020823,0.0,1.0283464566929135
Samai,87,0.5540506556671749,0.5289913700107874,0.5,0.04965297705625491,0.2228294797737833,0.15384615384615385,1.0
Small millets,4652,0.6516053658322366,0.5996794871794872,1.0,0.4953968008879699,0.7038443015951539,0.0,21.666666666666668
Coriander,3369,0.4900331800501168,0.47619047619047616,0.5,0.1235948371272851,0.35156057390908485,0.0,7.0588235294117645
Potato,6931,12.83546497675483,10.799363057324841,5.0,61.32756006437059,7.831191484338165,0.0,213.84615384615384
Other  Rabi pulses,3180,0.6195957796731095,0.5247209581206568,1.0,0.4893694268095074,0.6995494455787292,0.0,22.70731707317073
Soyabean,3212,1.0381587278023183,1.0,1.0,0.3065652364632682,0.5536833359089546,0.0,11.444444444444445
Beans & Mutter(Vegetable),167,3.116407219346313,2.091463414634146,0.0,9.373560907212887,3.0616271665917925,0.0,10.729007633587786
Bhindi,236,2.999250919498349,0.0,0.0,12.356603485055293,3.5151960805985336,0.0,19.451882845188283
Brinjal,386,7.240500263074067,6.450431836795473,0.0,45.7378578734264,6.762976997848388,0.0,29.983498349834985
Citrus Fruit,301,4.044965904958016,1.0571428571428572,0.0,34.248568792426305,5.852227677767356,0.0,20.892033165104543
Cucumber,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grapes,129,19.229890859897598,20.924137931034483,0.0,107.63289572441165,10.374627498103807,0.0,42.92782941498086
Mango,449,3.9745578884831034,3.242170269078077,0.0,15.16079378773073,3.8936864007943335,0.0,23.218543046357617
Orange,271,8.463160627721962,9.830645161290322,0.0,28.919956557399562,5.377727824778748,0.0,20.10886075949367
other fibres,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Fresh Fruits,410,1.3579066778331865,0.0,0.0,7.107370438246911,2.665965198243764,0.0,25.257731958762886
Other Vegetables,381,1.3709532361768386,0.0,0.0,10.277803709118396,3.2059013879279563,0.0,19.0028606456886
Papaya,483,28.659373881906248,15.5,0.0,1313.8807506726382,36.24749302603752,0.0,134.14263565891474
Pome Fruit,297,4.706792557103394,3.1375,0.0,81.77602447364282,9.043009702175643,0.0,57.13983628922237
Tomato,368,7.826412696861353,7.185687116231049,0.0,52.37200697011482,7.236850625107224,0.0,50.20507960576194
Rapeseed &Mustard,7592,0.7642785481541595,0.7101192318446097,1.0,0.23508190213271593,0.4848524539823594,0.0,8.541666666666666
Mesta,1787,5.5138416966004336,4.958333333333333,5.0,14.699648055467277,3.834012005128215,0.0,68.0
Cowpea(Lobia),587,0.45969192243995743,0.36619718309859156,0.0,0.14371790776442023,0.3791014478532365,0.0,3.25
Lemon,39,7.932812276256422,7.357142857142857,8.0,10.8496440129055,3.2938797811859346,3.8704453441295548,18.575834175935288
Pome Granet,66,3.967678305196814,0.0,0.0,35.55050367785963,5.962424312128384,0.0,16.36
Sapota,39,10.267325516590827,9.406995230524643,7.596,6.437400133988051,2.5372032110156355,7.596,19.884140550807217
Cabbage,205,11.862312933945125,0.0,0.0,321.5630917818679,17.932180340992222,0.0,67.21234567901234
Peas  (vegetable),11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niger seed,2070,0.3759559076562758,0.27714436139930804,0.5,2.493688137386601,1.579141582438573,0.0,71.0
Bottle Gourd,84,1.005506993006993,0.0,0.0,6.950088117765205,2.636301977726604,0.0,10.0
Sannhamp,2395,1.0940609752615833,0.417910447761194,0.0,3.6566983364349306,1.9122495486821092,0.0,55.55
Varagu,58,0.9310659245403735,1.0,1.0,0.07879666116448873,0.28070742983485264,0.33126934984520123,1.920449979911611
Garlic,3289,3.2556441599602364,2.8181818181818183,1.0,5.727741061256087,2.3932699516051437,0.0,23.636363636363637
Ginger,241,8.572291227587488,8.69158878504673,9.0,4.765366332399365,2.1829719037127724,0.9,20.0
