Category,Count,Mean,Median,Mode,Variance,Std Dev,Min,Max
Andaman and Nicobar Islands,203,340.16838164313924,2.7548786705283823,0.5,1190475.81023372,1091.0892769309578,0.0,4896.978021978022
Andhra Pradesh,9628,193.78064318819673,1.3668775036896479,0.0,2358890.8019057126,1535.8680939148753,0.0,33089.005476552076
Arunachal Pradesh,2546,3.645696305979096,1.4705882352941178,2.0,29.065144995125358,5.391209975054334,0.0,42.225563909774436
Assam,14628,148.56950399945674,0.8686963930732696,0.5,1348457.10556064,1161.23085799536,0.0,28334.155972359327
Bihar,18885,3.5077694608356316,1.0512820512820513,1.0,81.72852141901821,9.040382813742912,0.0,500.49152542372883
Chandigarh,90,7.740909985076652,4.5,1.0,67.44367210230256,8.212409640434563,0.0,31.666666666666668
Chhattisgarh,10709,2.1101826528065377,0.4696525742988698,0.0,39.97253279753145,6.322383474413067,0.0,97.3157894736842
Dadra and Nagar Haveli,263,7.503857375560622,1.0,1.0,991.8375953065384,31.49345321343054,0.5,370.0
Goa,208,198.20306152909365,1.8770951601087287,2.0,910592.0326006444,954.2494603617255,0.0,4995.103525461667
Gujarat,8436,5.668557502923088,1.1213655542769465,1.0,223.70076496678834,14.956629465450709,0.0,235.0
Haryana,5875,5.452117732627287,1.0,0.0,953.2894576631917,30.875385951647498,0.0,2150.0
Himachal Pradesh,2494,1.9074487344958593,0.834683520363132,1.0,10.303205478697082,3.209860663439627,0.0,29.20132450331126
Jammu and Kashmir,1634,1.536441552603642,0.7338457651734049,0.5,8.578941367904816,2.928982992081862,0.0,37.74655172413794
Jharkhand,1266,2.7340087420203854,1.1377299379398995,0.5,29.621151342750352,5.442531703421704,0.04,87.40161282534164
Karnataka,21122,4.422173159150471,1.0,1.0,169.5221739295535,13.020068123076527,0.0,142.5
Kerala,4261,358.1865147194508,2.03019331479925,0.0,2201300.6726083844,1483.6780892796066,0.0,11051.715759276387
Madhya Pradesh,22943,3.0178009357698827,0.7557251908396947,0.0,57.17997957126062,7.561744479368541,0.0,138.42105263157896
Maharashtra,12628,4.321958149702349,0.68,1.0,878.1389636327431,29.633409585006298,0.0,1494.0
Manipur,1267,4.595717198972048,2.2914334911752046,0.5,37.31604783909534,6.108686261308183,0.0,33.0
Meghalaya,2867,2.956008699088481,1.4383561643835616,1.0,10.260951969088786,3.2032720722862096,0.25,29.120218579234972
Mizoram,957,2.2668519524194695,1.2,1.0,16.250505830442535,4.031191614205722,0.0,50.0
Nagaland,3906,3.44509645422372,1.1,1.0,65.31251415988297,8.081615813677544,0.0,106.8135593220339
Odisha,13575,3.7114636870853333,0.6347826086956522,0.5,134.44365351247131,11.594983980690586,0.0,111.2
Puducherry,876,760.1096734093238,2.0,1.0,8928930.097798701,2988.131539574304,0.0,19792.98245614035
Punjab,3173,342.4855456935654,1.3,1.0,24353311.081947383,4934.907403583919,0.0,88000.0
Rajasthan,12514,2.7397465311663933,0.875,0.0,84.85266837143757,9.211550812509127,0.0,125.9342105263158
Sikkim,714,1.3061182854277127,0.9581979526953849,1.0,2.395713587857577,1.5478092866556838,0.07142857142857142,16.269713886950452
Tamil Nadu,13547,63.933358790273594,1.12,0.0,708102.5234438636,841.4882788511458,0.0,24414.676071365066
Telangana,5649,100.17185298813597,0.9640151515151515,0.0,1083616.0318044857,1040.9687948274366,0.0,14606.0
Tripura,1412,4.740502046192847,0.86865978686092,1.0,134.89633403503166,11.614488109040005,0.22727272727272727,66.00588235294117
Uttar Pradesh,33306,5.266079616947279,1.1210185172003433,1.0,129.8570321326856,11.39548297057591,0.0,78.84400698523575
Uttarakhand,4896,3.2683944146528985,1.0,1.0,65.61695166223602,8.100429103586798,0.0,65.8000849798173
West Bengal,9613,53.246042054559155,1.124861470262283,1.0,737562.4349190352,858.8145521118254,0.0,38800.0
